"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
2018,"ALB","800004",801923,"ISCED 3A","ISCED 2","male","no","yes",522.829,355.834,357.64,6.64198,"yes","yes",NA,"2","0","0","0-10",-2.1063,-1.0919
2018,"ALB","800004",801941,"ISCED 3A","ISCED 2","male","yes","no",314.427,238.894,277.16,6.64198,"no","no",NA,"2","2","0","11-25",-2.6708,-1.2391
2018,"ALB","800004",802589,"ISCED 3A","ISCED 3A","male","yes","yes",427.968,427.622,485.256,6.64198,"yes","yes",NA,"2","1","0","26-100",-1.0378,-0.1641
2018,"ALB","800004",802995,"ISCED 2","ISCED 2","male","no","yes",368.537,252.002,365.945,6.64198,"yes","no",NA,"2","0","0","11-25",-2.3284,-0.451
2018,"ALB","800004",803956,"ISCED 3A","ISCED 3A","male","no","no",450.983,346.471,339.35,6.64198,"yes","yes",NA,"3+","3+","0","0-10",-1.6572,-0.9622
2018,"ALB","800004",805071,"ISCED 3A","ISCED 2","male","yes","yes",359.283,316.71,370.27,6.64198,"yes","yes",NA,"2","0","0","11-25",-2.0872,-0.8303
2018,"ALB","800004",805176,"ISCED 2","ISCED 2","female","yes","yes",344.687,330.78,346.166,6.64198,"no","yes",NA,"2","1","1","11-25",-1.1034,-1.8772
2018,"ALB","800004",805498,"ISCED 3A","ISCED 2","male","yes","yes",230.895,245.989,325.902,6.64198,"yes","yes",NA,"1","1","0","11-25",-2.005,-1.2963
2018,"ALB","800004",805523,"ISCED 3A","ISCED 3A","male","no","yes",350.58,318.619,473.687,6.64198,"yes","yes",NA,"1","1","2","0-10",-2.0842,-1.4784
2018,"ALB","800004",806618,"ISCED 1","ISCED 2","female","no","yes",448.666,462.397,435.714,6.64198,"no","no",NA,"2","0","0","0-10",-2.4715,-2.3759
2018,"ALB","800004",806655,"ISCED 3A","ISCED 3A","male","no","no",405.186,321.023,337.47,6.64198,"yes","no",NA,"3+","1","1","0-10",-1.7772,-0.844
2018,"ALB","800004",806704,"ISCED 2","ISCED 3A","female","no","no",463.753,390.49,430.602,6.64198,"yes","no",NA,"1","0",NA,"11-25",-3.1252,-1.2251
2018,"ALB","800004",806833,NA,NA,"male",NA,NA,412.603,344.395,373.873,6.64198,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"ALB","800005",801005,"ISCED 2","ISCED 2","male","no","no",301.209,240.267,224.732,6.2345,"no","no",NA,"1","0","0","0-10",-2.7589,-2.4655
2018,"ALB","800005",801598,"ISCED 2","ISCED 3A","female","yes","yes",417.466,341.221,351.78,5.93762,"yes","yes",NA,"2","1","1","0-10",-0.7614,-1.2018
2018,"ALB","800005",801975,"ISCED 2","ISCED 3A","female","yes","yes",502.341,423.646,453.256,5.93762,"yes","yes",NA,"2","1","0","11-25",-1.3702,-0.4426
2018,"ALB","800005",804349,"ISCED 2","ISCED 3A","female","no","yes",416.754,411.676,406.504,5.93762,"yes","yes",NA,"3+","0","0","0-10",-1.9485,-1.4634
2018,"ALB","800005",804852,"ISCED 2","ISCED 2","female","no","no",294.11,319.378,326.312,5.93762,"yes","yes",NA,"1","0","0","0-10",-2.9266,-2.1813
2018,"ALB","800005",805039,"ISCED 2","ISCED 2","female","yes","yes",399.566,380.295,436.959,5.93762,"yes","no",NA,"2","1","1","0-10",-1.6853,-1.9087
2018,"ALB","800005",805593,"ISCED 3A","ISCED 1","male","no","yes",254.712,249.172,315.038,6.2345,"yes","yes",NA,"2","0","0","0-10",-2.313,-1.7194
2018,"ALB","800005",805615,"ISCED 1","ISCED 1","male","no","yes",451.462,431.474,460.54,6.2345,"yes","yes",NA,"1","0","0","0-10",-2.7341,-2.7486
2018,"ALB","800005",805920,"ISCED 2","ISCED 2","male","yes","yes",440.062,382.115,519.062,5.93762,"no","yes",NA,"2","0","1","11-25",-2.2716,-2.0457
2018,"ALB","800005",806072,"ISCED 3A","ISCED 3A","male","no","no",458.935,356.049,429.096,6.2345,"yes","yes",NA,"1","0","0","11-25",-2.9879,-1.8321
2018,"ALB","800005",806205,"ISCED 2","ISCED 2","female","no","yes",526.464,471.269,461.554,5.93762,"yes","yes",NA,"2",NA,NA,"0-10",-0.9459,-1.8647
2018,"ALB","800006",800027,"ISCED 2","ISCED 3B, C","male","yes","yes",482.35,368.485,454.018,14.61508,"yes","yes",NA,"3+","1","1","0-10",-0.6514,-0.654
2018,"ALB","800006",800127,"ISCED 3A","ISCED 2","male","no","yes",348.936,308.044,315.064,14.61508,"yes","yes",NA,"1","0","0","11-25",-2.094,-1.4311
2018,"ALB","800006",800133,"less than ISCED1","less than ISCED1","female","yes","yes",262.33,228.015,309.104,14.61508,"yes","yes",NA,"0","0",NA,"0-10",-2.1384,-1.9503
2018,"ALB","800006",800335,"ISCED 2","ISCED 3A","male","no","yes",505.985,328.609,416.402,14.61508,"yes","yes",NA,"2","1","0","0-10",-1.3702,-1.3939
2018,"ALB","800006",800517,"ISCED 2","ISCED 2","female","yes","yes",368.202,437.175,488.423,14.61508,"yes","yes",NA,"1","1","0","0-10",-1.6284,-1.7708
2018,"ALB","800006",800551,"ISCED 2","ISCED 2","female","yes","yes",409.467,395.132,379.137,14.61508,"yes","yes",NA,"2","1","0","0-10",-1.9975,-1.6484
2018,"ALB","800006",801257,"ISCED 1","ISCED 1","male",NA,"yes",309.443,238.312,247.235,14.61508,"no","yes",NA,"2","0","0","0-10",-1.3658,-2.4559
2018,"ALB","800006",801906,"ISCED 2","ISCED 1","female","no","yes",472.896,422.64,460.412,14.61508,"yes","yes",NA,"3+","0","0","11-25",-1.8022,-1.9946
2018,"ALB","800006",802711,"ISCED 2","ISCED 3A","female","no","yes",284.859,299.982,369.332,14.61508,"yes","yes",NA,"2","1","3+","11-25",-0.206,-1.0963
2018,"ALB","800006",802927,"ISCED 2","ISCED 3B, C","male","yes","yes",547.354,366.57,459.033,14.61508,"yes","yes",NA,"2","1","1","11-25",-0.8744,-0.8176
2018,"ALB","800006",803091,"ISCED 3A","ISCED 3A","male","no","yes",393.221,359.538,396.954,14.61508,"yes","yes",NA,"3+","0","0","0-10",-1.8022,-0.4469
2018,"ALB","800006",803173,"ISCED 2","ISCED 1","male","no","no",413.71,327.707,416.902,14.61508,"yes","no",NA,"0","0","0","0-10",-4.1699,-2.9289
2018,"ALB","800006",803525,"ISCED 3A","ISCED 2","female","no","yes",481.382,487.001,418.959,14.61508,"yes","yes",NA,"2","0","0","0-10",-2.3726,-1.0374
2018,"ALB","800006",803655,"ISCED 3A","ISCED 3B, C","male","yes","yes",538.624,483.041,517.598,14.61508,"yes","no",NA,"3+","1","0","101-200",-1.7672,0.0941
2018,"ALB","800006",803808,"ISCED 2",NA,"male","no","no",435.085,428.563,493.198,14.61508,"no","no",NA,"1","0","0","0-10",-4.0721,-3.2084
2018,"ALB","800006",804854,"ISCED 3A","ISCED 2","male","no","yes",420.03,292.658,265.714,14.61508,"yes","yes",NA,"2","0",NA,"0-10",-2.3631,-0.8674
2018,"ALB","800006",806387,"ISCED 3B, C","ISCED 3A","male","yes","yes",416.876,325.198,324.776,14.61508,"no","yes",NA,"2","1","2","0-10",-0.699,0.3305
2018,"ALB","800006",806470,"ISCED 2","ISCED 3A","female","no","yes",481.321,459.875,401.051,14.61508,"yes","yes",NA,"2","0","0","26-100",-1.9711,-1.5306
2018,"ALB","800006",806803,"ISCED 3A","ISCED 3A","female","no","yes",558.306,471.353,411.543,14.61508,"yes","yes",NA,"3+","0",NA,"26-100",-1.6123,-0.7233
2018,"ALB","800007",803290,"ISCED 2","ISCED 2","female","no","no",437.767,439.119,360.098,6.50492,"no","yes",NA,"1","0","0","0-10",-3.7363,-2.8456
2018,"ALB","800007",806230,"ISCED 2","ISCED 2","female","no","no",451.127,474.078,418.057,6.50492,"yes","yes",NA,"2","0","0","0-10",-3.0127,-2.4705
2018,"ALB","800007",806702,"ISCED 3A","ISCED 3A","male","no","no",567.304,471.058,516.335,6.50492,"yes","no",NA,"1","0","0","11-25",-3.118,-1.8898
2018,"ALB","800008",800695,"ISCED 3A","ISCED 3A","female","yes","yes",483.185,368.832,349.998,1.43587,"yes","yes",NA,"3+","2","3+","11-25",0.2451,0.1758
2018,"ALB","800008",801085,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",522.648,471.381,452.606,1.43587,"yes","yes",NA,"2","3+","2","101-200",0.5664,1.4013
2018,"ALB","800008",802058,"ISCED 2","ISCED 3A","male","yes","yes",452.785,506.052,457.921,1.43587,"yes","yes",NA,"2","1",NA,"26-100",-0.9821,-1.2254
2018,"ALB","800008",802716,"ISCED 3A","ISCED 3B, C","female","yes","yes",404.155,306.469,295.645,1.43587,"yes","yes",NA,"3+","3+","2","0-10",1.359,-0.4562
2018,"ALB","800008",802984,"ISCED 3A","ISCED 3A","male","yes","no",406.767,324.393,448.103,1.43587,"yes","yes",NA,"2","2","2","0-10",-1.0249,-0.4744
2018,"ALB","800008",803957,"ISCED 3A","ISCED 3A","female","yes","yes",464.976,415.791,462.144,1.43587,"yes","yes",NA,"2","1","1","11-25",-0.6796,0.3232
2018,"ALB","800008",804163,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",433.282,483.468,435.159,1.43587,"yes","yes",NA,"2","1",NA,"26-100",-0.4804,0.4203
2018,"ALB","800008",805219,"ISCED 3A","ISCED 3A","male","yes","yes",506.898,391.678,374.77,1.43587,"yes","yes",NA,"2","1","1","11-25",-0.6917,-0.8596
2018,"ALB","800008",805870,"ISCED 3A","ISCED 3B, C","female","yes","yes",348.009,237.66,301.533,1.43587,"no","no",NA,"0","1",NA,"11-25",-1.8675,-0.5281
2018,"ALB","800009",800108,"ISCED 3A","ISCED 3A","female","yes","yes",329.428,422.079,310.375,3.45238,"yes","yes",NA,"2","1","1","11-25",-0.6498,-0.724
2018,"ALB","800009",800220,"ISCED 3A","ISCED 3A","female","yes","yes",411.791,398.859,446.532,3.45238,"yes","yes",NA,"1","1",NA,"11-25",-1.3924,-1.0244
2018,"ALB","800009",800333,"ISCED 3A","ISCED 3A","male","yes","yes",566.119,453.712,485.449,3.45238,"yes","yes",NA,"2","1","1","101-200",-0.7492,-0.4837
2018,"ALB","800009",800543,"ISCED 3A","ISCED 3A","male","yes","yes",423.645,484.978,450.557,3.45238,"yes","yes",NA,"2","1","0","101-200",-1.1596,-1.0974
2018,"ALB","800009",800586,"ISCED 3B, C","ISCED 3A","male","yes","yes",522.991,468.38,433.118,3.45238,"yes","yes",NA,"2","3+","1","11-25",0.3451,-0.0589
2018,"ALB","800009",800743,"ISCED 2","ISCED 3A","female","yes","yes",369.195,410.916,372.585,3.45238,"yes","no",NA,"2","1","0","0-10",-1.9968,-1.4277
2018,"ALB","800009",800781,"ISCED 3A","ISCED 3B, C","male","yes","yes",545.103,474.397,471.198,3.45238,"yes","yes",NA,"1","1","1","26-100",-1.5605,-0.3786
2018,"ALB","800009",801345,"ISCED 3B, C","ISCED 3B, C","male","no","yes",585.305,540.206,530.097,3.45238,"yes","no",NA,"1","0","0","26-100",-1.7925,0.2872
2018,"ALB","800009",801482,"ISCED 2","ISCED 2","female","yes","yes",566.141,529.528,546.908,3.45238,"yes","yes",NA,"2","1","0","11-25",-2.008,-1.838
2018,"ALB","800009",801610,"ISCED 2","ISCED 3A","female","yes","yes",518.359,496.597,485.284,3.45238,"yes","yes",NA,"3+","1","1","11-25",-1.0604,-1.2743
2018,"ALB","800009",801641,"ISCED 3A","ISCED 3B, C","male","yes","yes",614.189,524.201,497.054,3.45238,"yes","yes",NA,"2","2","0","26-100",-1.0435,0.4878
2018,"ALB","800009",801750,"ISCED 3A","ISCED 3B, C","male","yes","yes",479.845,547.597,541.594,3.45238,"yes","yes",NA,"2","2",NA,"26-100",0.2764,0.6743
2018,"ALB","800009",801929,"ISCED 3A","ISCED 3A","female","no","yes",508.246,476.089,484.303,3.45238,"no","no",NA,"2","1","2","11-25",-1.0545,-1.5569
2018,"ALB","800009",802253,"ISCED 3A","ISCED 3A","female","yes","yes",500.979,529.179,462.031,3.45238,"yes","yes",NA,"2","3+","2","more than 500",0.0532,0.2455
2018,"ALB","800009",802260,"ISCED 2","ISCED 3A","female","yes","yes",499.926,446.932,397.857,3.45238,"yes","yes",NA,"2","2","1","11-25",-0.6145,-0.5953
2018,"ALB","800009",802268,"ISCED 3A","ISCED 3A","male","yes","yes",625.658,421.508,440.002,3.45238,"yes","yes",NA,"1","1","1","26-100",-1.7191,0.2092
2018,"ALB","800009",802354,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",531.71,554.499,526.242,3.45238,"yes","yes",NA,"2","2","1","26-100",-0.106,0.3384
2018,"ALB","800009",802571,"ISCED 3A","ISCED 3A","female","yes","yes",446.723,421.209,428.628,3.45238,"yes","no",NA,"1","1","0","0-10",-2.0362,-1.6795
2018,"ALB","800009",802603,"ISCED 3A","ISCED 3A","male","yes","yes",455.197,386.096,371.015,3.45238,"yes","yes",NA,"2","1","0","11-25",-1.3514,-0.6549
2018,"ALB","800009",802761,"ISCED 3A","ISCED 3A","female","yes","yes",602.669,569.568,494.417,3.45238,"yes","yes",NA,"3+","1","1","101-200",-0.8303,0.0978
2018,"ALB","800009",802835,"ISCED 2","ISCED 2","female","yes","no",462.362,425.158,415.545,3.45238,"yes","yes",NA,"1","1",NA,"11-25",-2.3033,-1.9772
2018,"ALB","800009",802922,"ISCED 2","ISCED 3A","male","yes","yes",560.038,448.222,449.519,3.45238,"yes","yes",NA,"1","1","1","11-25",-0.8816,-0.9697
2018,"ALB","800009",802998,"ISCED 3A","ISCED 3A","female","no","no",447.789,408.782,420.242,3.45238,"yes","no",NA,"2","0","0","0-10",-2.3281,-1.0051
2018,"ALB","800009",803018,"ISCED 3A","ISCED 3A","female","yes","yes",518.856,498.373,468.354,3.45238,"yes","yes",NA,"2","2",NA,"11-25",-0.3981,-0.0235
2018,"ALB","800009",803078,"ISCED 2","ISCED 3B, C","female","yes","yes",454.705,370.988,441.394,3.45238,"yes","yes",NA,"2","2","1","11-25",-0.1149,-1.0947
2018,"ALB","800009",803243,"ISCED 3A","ISCED 3A","male",NA,NA,461.257,446.746,475.118,3.45238,NA,"yes",NA,"2","1","0","26-100",-1.5839,-1.5163
2018,"ALB","800009",803432,"ISCED 3A","ISCED 3A","male","yes","yes",730.705,592.545,603.32,3.45238,"yes","yes",NA,"2","3+","1","101-200",-0.3021,-0.6441
2018,"ALB","800009",803610,"ISCED 3A","ISCED 3B, C","female","yes","yes",530.451,529.625,456.84,3.45238,"yes","yes",NA,"3+","1","1","101-200",-0.2677,0.7201
2018,"ALB","800009",803862,"ISCED 3A","ISCED 3A","male","yes","yes",532.491,429.36,514.763,3.45238,"yes","yes",NA,"2","1","2","0-10",-0.7312,-0.8654
2018,"ALB","800009",803917,"ISCED 3A","ISCED 3A","female","yes","yes",579.452,556.3,547.047,3.45238,"yes","yes",NA,"2","2","1","26-100",-0.4948,0.8701
2018,"ALB","800009",804120,"ISCED 2","ISCED 2","female","yes","yes",397.974,314.19,358.693,3.45238,"yes","yes",NA,"1","1","1","0-10",-1.7851,-1.0338
2018,"ALB","800009",804384,"ISCED 3A","ISCED 3A","male","yes","yes",450.023,457.56,475.757,3.45238,"yes","no",NA,"3+","2","0","201-500",-0.7739,0.833
2018,"ALB","800009",804991,"ISCED 3A","ISCED 3B, C","male","yes","yes",512.405,404.181,377.963,3.45238,"yes","yes",NA,"2","1","2","11-25",-1.2494,-0.1555
2018,"ALB","800009",805192,"ISCED 3A","ISCED 3A","male","yes","yes",426.144,366.403,354.132,3.45238,"yes","yes",NA,"2","1","2","0-10",-0.5376,0.4549
2018,"ALB","800009",805276,"ISCED 3A","ISCED 3A","male","yes","yes",504.418,428.675,409.698,3.45238,"yes","no",NA,"3+","1","3+","26-100",0.1584,0.0808
2018,"ALB","800009",805493,"ISCED 3A","ISCED 3A","female","yes","yes",552.154,466.455,438.095,3.45238,"yes","yes",NA,"2","1","0","26-100",-1.2717,-0.7956
2018,"ALB","800009",805565,"ISCED 3A","ISCED 3A","male","yes","yes",380.555,375.681,413.676,3.45238,"yes","yes",NA,"1","1","0","26-100",-1.6284,-1.242
2018,"ALB","800009",805580,"ISCED 3A","ISCED 3A","male","yes","yes",530.289,441.783,502.648,3.45238,"yes","no",NA,"2","2","1","11-25",-0.8055,0.0515
2018,"ALB","800009",805741,"ISCED 3A","ISCED 3A","female","no","no",455.909,394.063,376.559,3.45238,"no","yes",NA,"2","1","1","26-100",-2.3007,-1.7868
2018,"ALB","800009",806532,"ISCED 3A","ISCED 3A","female","yes","yes",448.829,478.206,414.895,3.45238,"yes","yes",NA,"1","2","0","101-200",-1.8498,-0.3719
2018,"ALB","800009",806662,"ISCED 2","ISCED 2","female","yes","no",468.195,424.784,387.678,3.45238,"yes","yes",NA,"2","1",NA,"26-100",-1.4218,-1.8642
2018,"ALB","800009",806851,"ISCED 3A","ISCED 3A","male","yes","yes",352.982,320.703,317.486,3.45238,"yes","yes",NA,"3+",NA,"2","101-200",-0.0795,-0.7413
2018,"ALB","800010",801204,"ISCED 3A","ISCED 3A","female","yes","yes",325.343,403.137,410.529,1.11679,"yes",NA,NA,"2","1","2","26-100",-0.0684,0.959
2018,"ALB","800010",801672,"ISCED 2","ISCED 3A","male","yes","yes",308.8,389.962,350.291,1.11679,"yes","yes",NA,"3+","3+","2","0-10",1.3774,0.4289
2018,"ALB","800010",801799,"ISCED 3A","ISCED 3B, C","male","yes","yes",341.657,343.072,384.081,1.11679,"yes","yes",NA,"2","3+","1","101-200",0.4956,-0.3498
2018,"ALB","800010",801820,"ISCED 2","ISCED 3A","female","yes","yes",423.823,423.667,427.612,1.11679,"yes","yes",NA,"1","2","1","11-25",-1.0715,-0.1468
2018,"ALB","800010",802749,"ISCED 3B, C","ISCED 3A","male","yes","yes",418.346,324.724,389.785,1.11679,"yes","yes",NA,"3+","0","2","11-25",-0.5507,0.0567
2018,"ALB","800010",804170,"ISCED 3B, C","ISCED 3A","female","yes","yes",412.894,456.386,452.548,1.11679,"yes","no",NA,"1","1","0","26-100",-2.4053,-0.0157
2018,"ALB","800010",805205,"ISCED 2","ISCED 2","male","no","yes",242.953,272.238,302.678,1.11679,"yes","yes",NA,"1","1","1","11-25",-1.7511,-1.874
2018,"ALB","800011",800141,"ISCED 3A","ISCED 3A","male","yes","yes",367.002,277.753,389.139,6.74868,"yes","yes",NA,"2","1","1","11-25",-1.1187,0.267
2018,"ALB","800011",800230,"ISCED 3A","ISCED 3A","male","no","yes",521.508,426.879,475.719,6.74868,"yes","no",NA,"2","1","1","11-25",-1.4923,-0.7073
2018,"ALB","800011",800831,"ISCED 3A","ISCED 3A","male","no","yes",212.174,266.732,360.001,6.74868,"yes","yes",NA,"3+","1","2","0-10",-0.7784,-0.6573
2018,"ALB","800011",800932,"ISCED 3A","ISCED 3A","female","yes","yes",453.18,438.034,537.705,6.74868,"yes","yes",NA,"2","1","1","0-10",-0.9927,-0.9368
2018,"ALB","800011",800990,"ISCED 3A","ISCED 3B, C","female","yes","yes",355.822,370.487,384.412,6.74868,"yes","yes",NA,"2","1","2","0-10",0.2312,0.1816
2018,"ALB","800011",801289,"ISCED 3A","ISCED 3A","male","no","yes",299.257,274.473,313.904,6.74868,"yes","yes",NA,"3+","0","2","11-25",-0.9448,-0.5281
2018,"ALB","800011",802864,"ISCED 3A","ISCED 3A","female","no","yes",314.893,331.235,389.447,6.74868,"yes","yes",NA,"3+","1","1","26-100",-0.7555,-0.4509
2018,"ALB","800011",803127,"ISCED 3A","ISCED 3A","female","yes","yes",506.267,541.774,460.226,6.74868,"yes","yes",NA,"2","1",NA,"26-100",-1.4478,-1.357
2018,"ALB","800011",803868,"ISCED 3A","ISCED 3A","female","yes","yes",349.946,337.232,368.912,6.74868,"yes","yes",NA,"2","1","2","101-200",0.0846,0.4279
2018,"ALB","800011",804758,"ISCED 3A","ISCED 3A","female","yes","yes",353.583,292.853,387.296,6.74868,"yes","yes",NA,"3+","2","1","11-25",-0.75,-1.1241
2018,"ALB","800011",805508,"ISCED 2","ISCED 3B, C","male","yes","yes",390.509,400.281,482.697,6.74868,"yes","yes",NA,"3+","2","2","26-100",0.7744,0.5888
2018,"ALB","800012",800597,"ISCED 2","ISCED 2","male","yes","yes",352.246,321.201,284.241,3.66917,"yes","yes",NA,"2","1",NA,"0-10",-1.4519,-1.4464
2018,"ALB","800012",801451,"ISCED 2","ISCED 2","male","no","yes",498.106,353.604,415.799,3.66917,"yes","yes",NA,"1","0","1","0-10",-1.8178,-2.1368
2018,"ALB","800012",803562,"ISCED 2","ISCED 2","male","yes","yes",396.513,282.224,350.068,3.66917,"yes","yes",NA,"2","1","0","0-10",-1.1048,0.0559
2018,"ALB","800012",803924,"ISCED 2","ISCED 2","male","yes","yes",470.775,344.558,400.281,3.66917,"yes","yes",NA,"3+","1","0","26-100",-0.9162,-1.6206
2018,"ALB","800012",805526,"ISCED 2","ISCED 2","female","no","no",445.065,433.058,442.262,3.43985,"yes","yes",NA,"1","1","0","0-10",-2.4177,-2.2344
2018,"ALB","800012",805582,"ISCED 3B, C","ISCED 2","female","yes","yes",505.182,417.648,428.846,3.43985,"no","no",NA,"0","0","0","0-10",-3.6131,-1.9845
2018,"ALB","800012",806867,"ISCED 2","ISCED 2","female","yes","no",414.982,310.126,410.142,3.43985,"no","yes",NA,"2","1","1","11-25",-1.2245,-1.1428
2018,"ALB","800013",800178,"ISCED 2","ISCED 3A","female","yes","yes",449.953,469.213,475.67,6.91135,"yes","yes",NA,"2","1","1","11-25",-0.6917,-1.0471
2018,"ALB","800013",800430,"ISCED 3A","ISCED 2","male","yes","yes",457.186,423.112,443.529,6.91135,"yes","yes",NA,"2","2","1","11-25",-0.6381,-0.2165
2018,"ALB","800013",800725,"ISCED 3A","ISCED 3A","male","yes","yes",365.873,449.067,367.327,6.91135,"yes","yes",NA,"3+","2","3+","11-25",0.6868,-0.1856
2018,"ALB","800013",801045,NA,NA,"female","yes","yes",515.636,509.116,520.04,6.91135,"yes","yes",NA,"3+","2","1","26-100",-0.3473,0.6947
2018,"ALB","800013",801171,"ISCED 2","ISCED 2","female","yes","yes",376.926,416.714,355.802,6.91135,"yes","yes",NA,"3+","1","3+","0-10",-0.4947,-1.2631
2018,"ALB","800013",801322,"ISCED 3A","ISCED 3B, C","female","yes","yes",475.326,381.767,455.639,6.91135,"yes","yes",NA,"2","1","0","26-100",-1.5987,-1.5422
2018,"ALB","800013",802381,"ISCED 3B, C","ISCED 3B, C","female","no","yes",383.36,403.081,365.7,6.91135,"yes","no",NA,"2","1","0","11-25",-1.7446,-1.6209
2018,"ALB","800013",802757,"ISCED 3A","ISCED 3B, C","female","yes","yes",392.72,488.163,521.79,6.91135,"yes","yes",NA,"2","2","1","11-25",-0.4948,0.2431
2018,"ALB","800013",802821,"ISCED 2","ISCED 2","female","yes","yes",440.342,401.34,390.377,6.91135,"yes","yes",NA,"3+","1","1","0-10",-0.7555,-1.2302
2018,"ALB","800013",804140,"ISCED 3A","ISCED 3A","female","yes","yes",521.938,461.652,470.859,6.91135,"yes","yes",NA,"3+","2","2","26-100",-0.0256,0.01
2018,"ALB","800013",804449,"ISCED 2","ISCED 2","male","yes","yes",480.795,325.258,444.688,6.91135,"yes","yes",NA,"1","1","0","11-25",-1.6563,-0.2454
2018,"ALB","800013",805270,"ISCED 3A","ISCED 3B, C","female","yes","yes",462.641,482.262,488.959,6.91135,"yes","yes",NA,"2","1","1","101-200",-0.7251,1.0591
2018,"ALB","800013",805688,"ISCED 3A",NA,"male","no","yes",432.339,420.888,432.38,6.91135,"yes","yes",NA,"3+","1","2","11-25",-0.007,-0.2508
2018,"ALB","800013",806189,"ISCED 3A","ISCED 3A","male","yes","yes",597.474,527.413,468.698,6.91135,"yes","yes",NA,"3+","1","1","26-100",-0.2677,0.0668
2018,"ALB","800013",806545,"ISCED 3A","ISCED 3A","female","yes","yes",567.847,560.52,551.336,6.91135,"yes","yes",NA,"2","2","2","201-500",0.4095,0.4365
2018,"ALB","800013",806774,"ISCED 3B, C","ISCED 3B, C","male",NA,NA,237.743,239.156,337.478,6.91135,NA,"yes",NA,NA,NA,"3+","0-10",NA,0.041
2018,"ALB","800014",800004,NA,NA,"female",NA,NA,296.848,337.527,344.094,3.81692,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"ALB","800014",800300,"ISCED 2","ISCED 2","male","yes","no",427.026,273.881,336.41,3.81692,"yes","yes",NA,"2","0","0","11-25",-2.6528,-1.1286
2018,"ALB","800014",800486,"ISCED 3A","ISCED 3A","male","yes","yes",427.503,405.244,452.468,3.81692,"yes","yes",NA,"2","1","0","26-100",-1.074,-0.4381
2018,"ALB","800014",800530,"ISCED 3A","ISCED 3A","male","yes","yes",435.067,334.14,369.398,3.81692,"yes","no",NA,"2","0","0","0-10",-2.1593,-1.2762
